complete the function. if the value of <span class='code-text'>I1</span> is bigger than 2, perform the instructions in A. otherwise return -1.<br/><br />A: if <span class='code-text'>I1</span> is greater than or equal to 3, divide -9 by <span class='code-text'>I2</span> and ignore the remainder. return the result. otherwise return 0.
int,int
I1,I2
15,3#-3
-3,5#-1
-1,-19#-1
7,6#-1
-12,20#-1
-8,1#-1
-2,-15#-1
-19,-20#-1
13,-3#3
-10,17#-1
-10,15#-1
9,-5#1
-9,-5#-1
-14,5#-1
-7,4#-1
17,-15#0
2,9#-1
1,5#-1
-10,17#-1
4,-9#1
-1,4#-1
-18,17#-1
1,-10#-1
11,-8#1
14,-14#0
-15,19#-1
19,-16#0
-4,0#-1
13,-1#9
-1,-11#-1
7,18#0
-5,-16#-1
-12,-17#-1
11,-11#0
-10,-12#-1
8,16#0
11,-7#1
-20,6#-1
-13,11#-1
13,15#0
12,19#0
-8,-17#-1
-6,9#-1
-3,15#-1
-8,-12#-1
-8,-4#-1
-12,18#-1
5,5#-1
10,4#-2
10,-10#0
-11,-5#-1
3,3#-3
7,-10#0
-16,15#-1
7,-5#1
1,-6#-1
-19,9#-1
-15,-8#-1
14,3#-3
5,3#-3
-10,8#-1
10,-14#0
9,20#0
-2,20#-1
-1,13#-1
-18,-13#-1
-6,-14#-1
-1,3#-1
-2,-16#-1
3,-5#1
-14,7#-1
-20,17#-1
5,-11#0
5,1#-9
-13,14#-1
-1,14#-1
4,5#-1
9,-11#0
-10,-4#-1
-10,-9#-1
-6,-10#-1
10,-10#0
6,2#-4
5,5#-1
13,15#0
-15,1#-1
13,7#-1
-17,-11#-1
9,-12#0
17,-19#0
-17,-11#-1
20,1#-9
19,-13#0
0,16#-1
-5,-18#-1
3,-5#1
-2,17#-1
-10,-11#-1
1,-8#-1
3,2#-4
